Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Age_cat
67,male,2,own,,little,1169,6,radio/TV,good,Senior
22,female,2,own,little,moderate,5951,48,radio/TV,bad,Student
49,male,1,own,little,,2096,12,education,good,Adult
45,male,2,free,little,little,7882,42,furniture/equipment,good,Adult
53,male,2,free,little,little,4870,24,car,bad,Adult
35,male,1,free,,,9055,36,education,good,Young
53,male,2,own,quite rich,,2835,24,furniture/equipment,good,Adult
35,male,3,rent,little,moderate,6948,36,car,good,Young
61,male,1,own,rich,,3059,12,radio/TV,good,Senior
28,male,3,own,little,moderate,5234,30,car,bad,Young
25,female,2,rent,little,moderate,1295,12,car,bad,Student
24,female,2,rent,little,little,4308,48,business,bad,Student
22,female,2,own,little,moderate,1567,12,radio/TV,good,Student
60,male,1,own,little,little,1199,24,car,bad,Adult
28,female,2,rent,little,little,1403,15,car,good,Young
32,female,1,own,moderate,little,1282,24,radio/TV,bad,Young
53,male,2,own,,,2424,24,radio/TV,good,Adult
25,male,2,own,,little,8072,30,business,good,Student
44,female,3,free,little,moderate,12579,24,car,bad,Adult
31,male,2,own,quite rich,,3430,24,radio/TV,good,Young
48,male,2,own,little,,2134,9,car,good,Adult
44,male,2,rent,quite rich,little,2647,6,radio/TV,good,Adult
48,male,1,rent,little,little,2241,10,car,good,Adult
44,male,2,own,moderate,moderate,1804,12,car,good,Adult
26,male,2,own,,,2069,10,furniture/equipment,good,Young
36,male,1,own,little,little,1374,6,furniture/equipment,good,Adult
39,male,1,own,little,,426,6,radio/TV,good,Adult
42,female,2,rent,rich,rich,409,12,radio/TV,good,Adult
34,male,2,own,little,moderate,2415,7,radio/TV,good,Young
63,male,2,own,little,little,6836,60,business,bad,Senior
36,male,2,own,rich,moderate,1913,18,business,good,Adult
27,male,2,own,little,little,4020,24,furniture/equipment,good,Young
30,male,2,own,moderate,moderate,5866,18,car,good,Young
57,male,1,rent,,,1264,12,business,good,Adult
33,female,3,own,little,rich,1474,12,furniture/equipment,good,Young
25,male,1,own,little,moderate,4746,45,radio/TV,bad,Student
31,male,2,free,little,,6110,48,education,good,Young
37,male,2,own,little,rich,2100,18,radio/TV,bad,Adult
37,male,2,own,little,rich,1225,10,domestic appliances,good,Adult
24,male,2,own,little,moderate,458,9,radio/TV,good,Student
30,male,3,own,quite rich,,2333,30,radio/TV,good,Young
26,male,2,own,quite rich,moderate,1158,12,radio/TV,good,Young
44,male,1,own,little,moderate,6204,18,repairs,good,Adult
24,male,2,rent,moderate,little,6187,30,car,good,Student
58,female,1,free,little,little,6143,48,car,bad,Adult
35,female,3,own,little,,1393,11,car,good,Young
39,male,2,own,quite rich,,2299,36,radio/TV,good,Adult
23,female,0,rent,quite rich,little,1352,6,car,good,Student
39,male,1,own,little,,7228,11,car,good,Adult
28,female,2,own,moderate,,2073,12,radio/TV,good,Young
29,male,1,own,,moderate,2333,24,furniture/equipment,good,Young
30,male,3,own,little,moderate,5965,27,car,good,Young
25,male,2,own,little,,1262,12,radio/TV,good,Student
31,male,2,own,,,3378,18,car,good,Young
57,male,2,free,little,moderate,2225,36,car,bad,Adult
26,male,1,own,,,783,6,car,good,Young
52,male,3,own,,moderate,6468,12,radio/TV,bad,Adult
31,female,2,own,little,,9566,36,radio/TV,good,Young
23,female,3,own,little,rich,1961,18,car,good,Student
23,female,1,rent,little,little,6229,36,furniture/equipment,bad,Student
27,male,2,own,little,moderate,1391,9,business,good,Young
50,male,2,own,,moderate,1537,15,radio/TV,good,Adult
61,male,3,free,little,moderate,1953,36,business,bad,Senior
25,male,2,own,little,moderate,14421,48,business,bad,Student
26,female,2,own,little,,3181,24,radio/TV,good,Young
48,male,2,own,,,5190,27,repairs,good,Adult
29,female,2,own,little,,2171,12,radio/TV,good,Young
22,male,2,own,rich,moderate,1007,12,car,good,Student
37,male,2,free,little,,1819,36,education,bad,Adult
25,female,2,own,,,2394,36,radio/TV,good,Student
30,female,2,own,little,,8133,36,car,good,Young
46,male,1,rent,,,730,7,radio/TV,good,Adult
51,male,3,free,little,little,1164,8,vacation/others,good,Adult
41,female,1,own,little,moderate,5954,42,business,good,Adult
40,male,3,own,,little,1977,36,education,bad,Adult
66,male,3,free,little,little,1526,12,car,good,Senior
34,male,2,own,little,little,3965,42,radio/TV,bad,Young
51,male,2,own,little,moderate,4771,11,radio/TV,good,Adult
39,male,1,own,,,9436,54,car,good,Adult
22,male,2,own,little,moderate,3832,30,furniture/equipment,good,Student
44,female,2,own,,,5943,24,radio/TV,bad,Adult
47,male,2,own,quite rich,,1213,15,radio/TV,good,Adult
24,female,1,rent,moderate,,1568,18,business,good,Student
58,female,1,own,little,little,1755,24,vacation/others,good,Adult
52,male,1,own,little,little,2315,10,radio/TV,good,Adult
29,female,3,own,little,,1412,12,business,good,Young
27,female,2,own,little,moderate,1295,18,furniture/equipment,good,Young
47,male,2,free,moderate,moderate,12612,36,education,bad,Adult
30,male,3,own,moderate,little,2249,18,car,good,Young
28,male,2,own,little,little,1108,12,repairs,bad,Young
56,male,2,own,little,,618,12,radio/TV,good,Adult
54,male,2,own,little,little,1409,12,car,good,Adult
33,female,1,own,,,797,12,radio/TV,bad,Young
20,male,2,rent,,rich,3617,24,furniture/equipment,good,Student
54,male,2,own,rich,moderate,1318,12,car,good,Adult
58,male,2,rent,little,moderate,15945,54,business,bad,Adult
61,female,2,own,,,2012,12,education,good,Senior
34,male,2,own,moderate,moderate,2622,18,business,good,Young
36,male,2,own,little,moderate,2337,36,radio/TV,good,Adult
36,male,3,rent,,moderate,7057,20,car,good,Adult
41,male,1,rent,moderate,,1469,24,car,good,Adult
24,male,2,rent,little,moderate,2323,36,radio/TV,good,Student
24,female,2,own,little,,932,6,radio/TV,good,Student
35,male,2,rent,little,moderate,1919,9,furniture/equipment,good,Young
26,male,2,rent,,,2445,12,car,good,Young
39,male,3,own,little,moderate,11938,24,vacation/others,bad,Adult
39,male,3,own,little,,6458,18,car,bad,Adult
32,male,2,own,little,moderate,6078,12,car,good,Young
